"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"01/01/2000","97","PM2.5","E. Rivers School","13-121-0032","AQS"
"01/02/2000","60","PM2.5","Doraville","13-089-2001","AQS"
"01/03/2000","56","PM2.5","Doraville","13-089-2001","AQS"
"01/04/2000","49","PM2.5","Fire Station #8","13-121-0039","AQS"
"01/05/2000","54","PM2.5","Doraville","13-089-2001","AQS"
"01/06/2000","60","PM2.5","Doraville","13-089-2001","AQS"
"01/07/2000","72","PM2.5","Fire Station #8","13-121-0039","AQS"
"01/08/2000","64","PM2.5","E. Rivers School","13-121-0032","AQS"
"01/09/2000","73","PM2.5","Doraville","13-089-2001","AQS"
"01/10/2000","56","PM2.5","Fire Station #8","13-121-0039","AQS"
"01/11/2000","63","NO2","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/12/2000","103","NO2","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"01/13/2000","63","PM2.5","Kennesaw","13-067-0003","AQS"
"01/14/2000","52","PM2.5","South DeKalb","13-089-0002","AQS"
"01/15/2000","69","PM2.5","Doraville","13-089-2001","AQS"
"01/16/2000","67","PM2.5","Fire Station #8","13-121-0039","AQS"
"01/17/2000","62","PM2.5","Doraville","13-089-2001","AQS"
"01/18/2000","74","PM2.5","Doraville","13-089-2001","AQS"
"01/19/2000","70","PM2.5","Fire Station #8","13-121-0039","AQS"
"01/20/2000","52","PM2.5","E. Rivers School","13-121-0032","AQS"
"01/21/2000","57","PM2.5","Doraville","13-089-2001","AQS"
"01/22/2000","67","PM2.5","Not Available","13-121-1001","AQS"
"01/23/2000","104","PM2.5","South DeKalb","13-089-0002","AQS"
"01/24/2000","80","PM2.5","South DeKalb","13-089-0002","AQS"
"01/25/2000","65","PM2.5","Forest Park","13-063-0091","AQS"
"01/26/2000","55","PM2.5","Doraville","13-089-2001","AQS"
"01/27/2000","62","PM2.5","South DeKalb","13-089-0002","AQS"
"01/28/2000","58","PM2.5","Not Available","13-121-1001","AQS"
"01/29/2000","49","PM2.5","E. Rivers School","13-121-0032","AQS"
"01/30/2000","66","PM2.5","E. Rivers School","13-121-0032","AQS"
"01/31/2000","65","PM2.5","South DeKalb","13-089-0002","AQS"
"02/01/2000","76","PM2.5","Doraville","13-089-2001","AQS"
"02/02/2000","67","PM2.5","E. Rivers School","13-121-0032","AQS"
"02/03/2000","89","PM2.5","Fire Station #8","13-121-0039","AQS"
"02/04/2000","65","PM2.5","Doraville","13-089-2001","AQS"
"02/05/2000","66","PM2.5","E. Rivers School","13-121-0032","AQS"
"02/06/2000","90","PM2.5","Yorkville, King Farm","13-223-0003","AQS"
"02/07/2000","84","PM2.5","Doraville","13-089-2001","AQS"
"02/08/2000","124","PM2.5","Not Available","13-121-1001","AQS"
"02/09/2000","122","PM2.5","Fire Station #8","13-121-0039","AQS"
"02/10/2000","107","PM2.5","Doraville","13-089-2001","AQS"
"02/11/2000","79","PM2.5","E. Rivers School","13-121-0032","AQS"
"02/12/2000","78","PM2.5","Kennesaw","13-067-0003","AQS"
"02/13/2000","54","PM2.5","E. Rivers School","13-121-0032","AQS"
"02/14/2000","57","PM2.5","South DeKalb","13-089-0002","AQS"
"02/15/2000","60","PM2.5","Forest Park","13-063-0091","AQS"
"02/16/2000","80","PM2.5","Doraville","13-089-2001","AQS"
"02/17/2000","68","PM2.5","E. Rivers School","13-121-0032","AQS"
"02/18/2000","125","PM2.5","Kennesaw","13-067-0003","AQS"
"02/19/2000","61","PM2.5","Doraville","13-089-2001","AQS"
"02/20/2000","58","PM2.5","South DeKalb","13-089-0002","AQS"
"02/21/2000","66","PM2.5","Kennesaw","13-067-0003","AQS"
"02/22/2000","79","PM2.5","Doraville","13-089-2001","AQS"
"02/23/2000","87","PM2.5","South DeKalb","13-089-0002","AQS"
"02/24/2000","77","PM2.5","Gwinnett","13-135-0002","AQS"
"02/25/2000","70","PM2.5","Doraville","13-089-2001","AQS"
"02/26/2000","58","PM2.5","South DeKalb","13-089-0002","AQS"
"02/27/2000","98","PM2.5","Not Available","13-121-1001","AQS"
"02/28/2000","53","NO2","Georgia Tech, Ford Environmental Science and Technology Bldg, roof","13-121-0048","AQS"
"02/29/2000","77","Ozone","Georgia Station","13-231-9991","AQS"
"03/01/2000","89","PM2.5","Fire Station #8","13-121-0039","AQS"
"03/02/2000","55","PM2.5","Doraville","13-089-2001","AQS"
"03/03/2000","67","PM2.5","South DeKalb","13-089-0002","AQS"
"03/04/2000","76","PM2.5","Fire Station #8","13-121-0039","AQS"
"03/05/2000","63","PM2.5","South DeKalb","13-089-0002","AQS"
