sample,type,value
plant1,petal.area,6.58
plant1,petal.length,4.7
plant2,petal.area,6.75
plant2,petal.length,4.5
plant3,petal.area,7.35
plant3,petal.length,4.9
plant4,petal.area,5.2
plant4,petal.length,4
plant5,petal.area,6.9
plant5,petal.length,4.6
plant6,petal.area,5.85
plant6,petal.length,4.5
plant7,petal.area,7.52
plant7,petal.length,4.7
plant8,petal.area,3.3
plant8,petal.length,3.3
plant9,petal.area,5.98
plant9,petal.length,4.6
plant10,petal.area,5.46
plant10,petal.length,3.9
plant11,petal.area,3.5
plant11,petal.length,3.5
plant12,petal.area,6.3
plant12,petal.length,4.2
plant13,petal.area,4
plant13,petal.length,4
plant14,petal.area,6.58
plant14,petal.length,4.7
plant15,petal.area,4.68
plant15,petal.length,3.6
plant16,petal.area,6.16
plant16,petal.length,4.4
plant17,petal.area,6.75
plant17,petal.length,4.5
plant18,petal.area,4.1
plant18,petal.length,4.1
plant19,petal.area,6.75
plant19,petal.length,4.5
plant20,petal.area,4.29
plant20,petal.length,3.9
plant21,petal.area,8.64
plant21,petal.length,4.8
plant22,petal.area,5.2
plant22,petal.length,4
plant23,petal.area,7.35
plant23,petal.length,4.9
plant24,petal.area,5.64
plant24,petal.length,4.7
plant25,petal.area,5.59
plant25,petal.length,4.3
plant26,petal.area,6.16
plant26,petal.length,4.4
plant27,petal.area,6.72
plant27,petal.length,4.8
plant28,petal.area,8.5
plant28,petal.length,5
plant29,petal.area,6.75
plant29,petal.length,4.5
plant30,petal.area,3.5
plant30,petal.length,3.5
plant31,petal.area,4.18
plant31,petal.length,3.8
plant32,petal.area,3.7
plant32,petal.length,3.7
plant33,petal.area,4.68
plant33,petal.length,3.9
plant34,petal.area,8.16
plant34,petal.length,5.1
plant35,petal.area,6.75
plant35,petal.length,4.5
plant36,petal.area,7.2
plant36,petal.length,4.5
plant37,petal.area,7.05
plant37,petal.length,4.7
plant38,petal.area,5.72
plant38,petal.length,4.4
plant39,petal.area,5.33
plant39,petal.length,4.1
plant40,petal.area,5.2
plant40,petal.length,4
plant41,petal.area,5.28
plant41,petal.length,4.4
plant42,petal.area,6.44
plant42,petal.length,4.6
plant43,petal.area,4.8
plant43,petal.length,4
plant44,petal.area,3.3
plant44,petal.length,3.3
plant45,petal.area,5.46
plant45,petal.length,4.2
plant46,petal.area,5.04
plant46,petal.length,4.2
plant47,petal.area,5.46
plant47,petal.length,4.2
plant48,petal.area,5.59
plant48,petal.length,4.3
plant49,petal.area,3.3
plant49,petal.length,3
plant50,petal.area,5.33
plant50,petal.length,4.1
plant51,petal.area,15
plant51,petal.length,6
plant52,petal.area,9.69
plant52,petal.length,5.1
plant53,petal.area,12.39
plant53,petal.length,5.9
plant54,petal.area,10.08
plant54,petal.length,5.6
plant55,petal.area,12.76
plant55,petal.length,5.8
plant56,petal.area,13.86
plant56,petal.length,6.6
plant57,petal.area,7.65
plant57,petal.length,4.5
plant58,petal.area,11.34
plant58,petal.length,6.3
plant59,petal.area,10.44
plant59,petal.length,5.8
plant60,petal.area,15.25
plant60,petal.length,6.1
plant61,petal.area,10.2
plant61,petal.length,5.1
plant62,petal.area,10.07
plant62,petal.length,5.3
plant63,petal.area,11.55
plant63,petal.length,5.5
plant64,petal.area,10
plant64,petal.length,5
plant65,petal.area,12.24
plant65,petal.length,5.1
plant66,petal.area,12.19
plant66,petal.length,5.3
plant67,petal.area,9.9
plant67,petal.length,5.5
plant68,petal.area,14.74
plant68,petal.length,6.7
plant69,petal.area,15.87
plant69,petal.length,6.9
plant70,petal.area,7.5
plant70,petal.length,5
plant71,petal.area,13.11
plant71,petal.length,5.7
plant72,petal.area,9.8
plant72,petal.length,4.9
plant73,petal.area,13.4
plant73,petal.length,6.7
plant74,petal.area,8.82
plant74,petal.length,4.9
plant75,petal.area,11.97
plant75,petal.length,5.7
plant76,petal.area,10.8
plant76,petal.length,6
plant77,petal.area,8.64
plant77,petal.length,4.8
plant78,petal.area,8.82
plant78,petal.length,4.9
plant79,petal.area,11.76
plant79,petal.length,5.6
plant80,petal.area,9.28
plant80,petal.length,5.8
plant81,petal.area,11.59
plant81,petal.length,6.1
plant82,petal.area,12.8
plant82,petal.length,6.4
plant83,petal.area,12.32
plant83,petal.length,5.6
plant84,petal.area,7.65
plant84,petal.length,5.1
plant85,petal.area,7.84
plant85,petal.length,5.6
plant86,petal.area,14.03
plant86,petal.length,6.1
plant87,petal.area,13.44
plant87,petal.length,5.6
plant88,petal.area,9.9
plant88,petal.length,5.5
plant89,petal.area,8.64
plant89,petal.length,4.8
plant90,petal.area,11.34
plant90,petal.length,5.4
plant91,petal.area,13.44
plant91,petal.length,5.6
plant92,petal.area,11.73
plant92,petal.length,5.1
plant93,petal.area,9.69
plant93,petal.length,5.1
plant94,petal.area,13.57
plant94,petal.length,5.9
plant95,petal.area,14.25
plant95,petal.length,5.7
plant96,petal.area,11.96
plant96,petal.length,5.2
plant97,petal.area,9.5
plant97,petal.length,5
plant98,petal.area,10.4
plant98,petal.length,5.2
plant99,petal.area,12.42
plant99,petal.length,5.4
plant100,petal.area,9.18
plant100,petal.length,5.1
