state,income
al,48486
ak,76715
az,56213
ar,45726
ca,71228
co,68811
ct,76106
de,65627
dc,82604
fl,53267
ga,55679
hi,78084
id,53089
il,63575
in,54325
ia,58580
ks,57422
ky,48392
la,47942
me,55425
md,81868
ma,77378
mi,54938
mn,68411
ms,43567
mo,53560
mt,52559
ne,59116
nv,57598
nh,74057
nj,79363
nm,48059
ny,65323
nc,52413
nd,63473
oh,54533
ok,51424
or,59393
pa,59445
ri,63296
sc,51015
sd,56499
tn,50972
tx,59570
ut,68374
vt,60076
va,71564
wa,70116
wv,44921
wi,59209
wy,62268
pr,20166
