"","Income","Education"
"1",30169,"HS"
"2",35327,"AD"
"3",54917,"BD"
"4",63317,"Grad"
"5",25414,"HS"
"6",31312,"AD"
"7",44940,"BD"
"8",54599,"Grad"
"9",20946,"HS"
"10",24201,"AD"
"11",42629,"BD"
"12",48500,"Grad"
"13",27869,"HS"
"14",23728,"AD"
"15",53304,"BD"
"16",53500,"Grad"
"17",27982,"HS"
"18",33980,"AD"
"19",47493,"BD"
"20",54179,"Grad"
"21",30739,"HS"
"22",31550,"AD"
"23",31758,"BD"
"24",24250,"Grad"
"25",22969,"HS"
"26",28018,"AD"
"27",41146,"BD"
"28",56339,"Grad"
"29",26322,"HS"
"30",30734,"AD"
"31",41507,"BD"
"32",50997,"Grad"
"33",21273,"HS"
"34",29440,"AD"
"35",46036,"BD"
"36",60426,"Grad"
"37",27062,"HS"
"38",31927,"AD"
"39",39528,"BD"
"40",55571,"Grad"
"41",30556,"HS"
"42",32488,"AD"
"43",44161,"BD"
"44",53205,"Grad"
"45",30161,"HS"
"46",25962,"AD"
"47",41188,"BD"
"48",40821,"Grad"
"49",25900,"HS"
"50",34611,"AD"
"51",39149,"BD"
"52",53906,"Grad"
"53",26143,"HS"
"54",29085,"AD"
"55",34028,"BD"
"56",49269,"Grad"
"57",24627,"HS"
"58",30940,"AD"
"59",52769,"BD"
"60",54643,"Grad"
"61",25468,"HS"
"62",34213,"AD"
"63",44113,"BD"
"64",61713,"Grad"
"65",28081,"HS"
"66",30728,"AD"
"67",47489,"BD"
"68",56505,"Grad"
"69",24755,"HS"
"70",19968,"AD"
"71",50313,"BD"
"72",56792,"Grad"
"73",24325,"HS"
"74",30800,"AD"
"75",37308,"BD"
"76",56016,"Grad"
"77",21821,"HS"
"78",27599,"AD"
"79",37686,"BD"
"80",54550,"Grad"
"81",30157,"HS"
"82",29444,"AD"
"83",43125,"BD"
"84",38839,"Grad"
"85",25863,"HS"
"86",30556,"AD"
"87",40979,"BD"
"88",53276,"Grad"
"89",25108,"HS"
"90",33270,"AD"
"91",43865,"BD"
"92",49634,"Grad"
"93",22031,"HS"
"94",26872,"AD"
"95",32260,"BD"
"96",53109,"Grad"
"97",25840,"HS"
"98",28665,"AD"
"99",40652,"BD"
"100",48774,"Grad"
"101",28827,"HS"
"102",33082,"AD"
"103",50083,"BD"
"104",54730,"Grad"
"105",22891,"HS"
"106",29462,"AD"
"107",38722,"BD"
"108",52861,"Grad"
"109",23868,"HS"
"110",28810,"AD"
"111",42452,"BD"
"112",53656,"Grad"
"113",28846,"HS"
"114",29070,"AD"
"115",42237,"BD"
"116",43785,"Grad"
"117",25872,"HS"
"118",28604,"AD"
"119",40962,"BD"
"120",54091,"Grad"
"121",24026,"HS"
"122",26141,"AD"
"123",36913,"BD"
"124",53202,"Grad"
"125",19421,"HS"
"126",25127,"AD"
"127",80313,"BD"
"128",56384,"Grad"
"129",19452,"HS"
"130",31827,"AD"
"131",33056,"BD"
"132",49559,"Grad"
"133",26654,"HS"
"134",30934,"AD"
"135",54221,"BD"
"136",49250,"Grad"
"137",24254,"HS"
"138",30021,"AD"
"139",47570,"BD"
"140",55462,"Grad"
"141",24668,"HS"
"142",29006,"AD"
"143",45352,"BD"
"144",54341,"Grad"
"145",25876,"HS"
"146",31420,"AD"
"147",46068,"BD"
"148",58491,"Grad"
"149",27405,"HS"
"150",29414,"AD"
"151",49341,"BD"
"152",46083,"Grad"
"153",25006,"HS"
"154",30140,"AD"
"155",39358,"BD"
"156",51799,"Grad"
"157",27387,"HS"
"158",30810,"AD"
"159",41101,"BD"
"160",50500,"Grad"
"161",25915,"HS"
"162",31860,"AD"
"163",43493,"BD"
"164",54166,"Grad"
"165",26222,"HS"
"166",32471,"AD"
"167",54487,"BD"
"168",61635,"Grad"
"169",26316,"HS"
"170",27719,"AD"
"171",38008,"BD"
"172",44479,"Grad"
"173",21835,"HS"
"174",25328,"AD"
"175",38869,"BD"
"176",48990,"Grad"
"177",26168,"HS"
"178",32030,"AD"
"179",56898,"BD"
"180",75616,"Grad"
"181",21175,"HS"
"182",31582,"AD"
"183",42517,"BD"
"184",50579,"Grad"
"185",22352,"HS"
"186",27331,"AD"
"187",50369,"BD"
"188",49267,"Grad"
"189",25141,"HS"
"190",30492,"AD"
"191",46568,"BD"
"192",54954,"Grad"
"193",27031,"HS"
"194",30424,"AD"
"195",43612,"BD"
"196",52792,"Grad"
"197",26120,"HS"
"198",27713,"AD"
"199",42443,"BD"
"200",56055,"Grad"
"201",24131,"HS"
"202",28936,"AD"
"203",45175,"BD"
"204",57444,"Grad"
"205",25940,"HS"
"206",29457,"AD"
"207",47440,"BD"
"208",54877,"Grad"
"209",17267,"HS"
"210",29904,"AD"
"211",29417,"BD"
"212",32500,"Grad"
"213",24073,"HS"
"214",29350,"AD"
"215",38482,"BD"
"216",50116,"Grad"
"217",26533,"HS"
"218",29366,"AD"
"219",41483,"BD"
"220",51196,"Grad"
"221",23096,"HS"
"222",33255,"AD"
"223",45469,"BD"
"224",52500,"Grad"
"225",24034,"HS"
"226",29855,"AD"
"227",43289,"BD"
"228",53135,"Grad"
"229",32222,"HS"
"230",35577,"AD"
"231",48226,"BD"
"232",55781,"Grad"
"233",30874,"HS"
"234",39464,"AD"
"235",54165,"BD"
"236",63637,"Grad"
"237",18141,"HS"
"238",16856,"AD"
"239",38829,"BD"
"240",42778,"Grad"
"241",25286,"HS"
"242",27438,"AD"
"243",36977,"BD"
"244",53176,"Grad"
"245",23669,"HS"
"246",28994,"AD"
"247",44350,"BD"
"248",56017,"Grad"
"249",27758,"HS"
"250",31677,"AD"
"251",42656,"BD"
"252",52865,"Grad"
"253",26921,"HS"
"254",30816,"AD"
"255",41667,"BD"
"256",60819,"Grad"
"257",30119,"HS"
"258",32991,"AD"
"259",39545,"BD"
"260",58750,"Grad"
"261",27025,"HS"
"262",19909,"AD"
"263",43700,"BD"
"264",30446,"Grad"
"265",20190,"HS"
"266",28571,"AD"
"267",39563,"BD"
"268",53922,"Grad"
"269",20770,"HS"
"270",26383,"AD"
"271",22431,"BD"
"272",74000,"Grad"
"273",25012,"HS"
"274",36765,"AD"
"275",36250,"BD"
"276",75938,"Grad"
"277",31994,"HS"
"278",42876,"AD"
"279",55234,"BD"
"280",73295,"Grad"
"281",18216,"HS"
"282",31049,"AD"
"283",67206,"BD"
"284",72857,"Grad"
"285",44318,"HS"
"286",54028,"AD"
"287",50000,"BD"
"288",62188,"Grad"
"289",51250,"HS"
"290",59917,"AD"
"291",41761,"BD"
"292",54779,"Grad"
"293",21792,"HS"
"294",31802,"AD"
"295",51705,"BD"
"296",70625,"Grad"
"297",35819,"HS"
"298",41604,"AD"
"299",45325,"BD"
"300",64811,"Grad"
"301",22135,"HS"
"302",25000,"AD"
"303",30313,"BD"
"304",57837,"Grad"
"305",25847,"HS"
"306",26078,"AD"
"307",26184,"BD"
"308",48250,"Grad"
"309",34470,"HS"
"310",40414,"AD"
"311",49969,"BD"
"312",69119,"Grad"
"313",32417,"HS"
"314",35609,"AD"
"315",42659,"BD"
"316",58397,"Grad"
"317",31536,"HS"
"318",36444,"AD"
"319",46500,"BD"
"320",63438,"Grad"
"321",28409,"HS"
"322",37245,"AD"
"323",37367,"BD"
"324",68925,"Grad"
"325",20417,"HS"
"326",27614,"AD"
"327",51250,"BD"
"328",65625,"Grad"
"329",40518,"HS"
"330",41542,"AD"
"331",52237,"BD"
"332",62049,"Grad"
"333",19167,"HS"
"334",35781,"AD"
"335",65179,"BD"
"336",74239,"Grad"
"337",43281,"HS"
"338",54600,"AD"
"339",82237,"BD"
"340",77917,"Grad"
"341",24094,"HS"
"342",41352,"AD"
"343",65500,"BD"
"344",91161,"Grad"
"345",30833,"HS"
"346",27220,"AD"
"347",43750,"BD"
"348",29948,"Grad"
"349",23375,"HS"
"350",29915,"AD"
"351",48750,"BD"
"352",63077,"Grad"
"353",32301,"HS"
"354",39688,"AD"
"355",47531,"BD"
"356",57212,"Grad"
"357",31487,"HS"
"358",32173,"AD"
"359",45417,"BD"
"360",41250,"Grad"
"361",26875,"HS"
"362",43531,"AD"
"363",49643,"BD"
"364",64722,"Grad"
"365",33802,"HS"
"366",41563,"AD"
"367",44141,"BD"
"368",62212,"Grad"
"369",12730,"HS"
"370",22821,"AD"
"371",50313,"BD"
"372",65000,"Grad"
"373",30972,"HS"
"374",27240,"AD"
"375",40893,"BD"
"376",93056,"Grad"
"377",37083,"HS"
"378",49167,"AD"
"379",73750,"BD"
"380",66458,"Grad"
"381",16607,"HS"
"382",26563,"AD"
"383",45795,"BD"
"384",65000,"Grad"
"385",20418,"HS"
"386",28894,"AD"
"387",41889,"BD"
"388",49049,"Grad"
"389",20768,"HS"
"390",30973,"AD"
"391",41951,"BD"
"392",51551,"Grad"
"393",26465,"HS"
"394",30427,"AD"
"395",37998,"BD"
"396",52667,"Grad"
"397",25511,"HS"
"398",30968,"AD"
"399",33333,"BD"
"400",43083,"Grad"
"401",27730,"HS"
"402",35148,"AD"
"403",35165,"BD"
"404",55689,"Grad"
"405",34735,"HS"
"406",38902,"AD"
"407",49688,"BD"
"408",75714,"Grad"
"409",22271,"HS"
"410",29146,"AD"
"411",44109,"BD"
"412",60833,"Grad"
"413",28627,"HS"
"414",36175,"AD"
"415",51637,"BD"
"416",65648,"Grad"
"417",22361,"HS"
"418",26443,"AD"
"419",37418,"BD"
"420",45413,"Grad"
"421",23200,"HS"
"422",28267,"AD"
"423",40156,"BD"
"424",47955,"Grad"
"425",24278,"HS"
"426",30855,"AD"
"427",42240,"BD"
"428",56147,"Grad"
"429",30223,"HS"
"430",36022,"AD"
"431",45877,"BD"
"432",51012,"Grad"
"433",20366,"HS"
"434",29416,"AD"
"435",43349,"BD"
"436",40893,"Grad"
"437",23554,"HS"
"438",28778,"AD"
"439",37410,"BD"
"440",40542,"Grad"
"441",22665,"HS"
"442",30274,"AD"
"443",40984,"BD"
"444",53784,"Grad"
"445",26140,"HS"
"446",25291,"AD"
"447",44609,"BD"
"448",51250,"Grad"
"449",25868,"HS"
"450",26167,"AD"
"451",41486,"BD"
"452",46929,"Grad"
"453",20398,"HS"
"454",25413,"AD"
"455",31069,"BD"
"456",47381,"Grad"
"457",27890,"HS"
"458",33136,"AD"
"459",53326,"BD"
"460",61357,"Grad"
"461",22856,"HS"
"462",25894,"AD"
"463",39074,"BD"
"464",62500,"Grad"
"465",25389,"HS"
"466",31376,"AD"
"467",37173,"BD"
"468",52054,"Grad"
"469",22750,"HS"
"470",26118,"AD"
"471",32313,"BD"
"472",44922,"Grad"
"473",23169,"HS"
"474",24164,"AD"
"475",38042,"BD"
"476",45833,"Grad"
"477",20295,"HS"
"478",24227,"AD"
"479",27596,"BD"
"480",51042,"Grad"
"481",21770,"HS"
"482",25942,"AD"
"483",36907,"BD"
"484",43364,"Grad"
"485",21817,"HS"
"486",26381,"AD"
"487",35473,"BD"
"488",48293,"Grad"
"489",25241,"HS"
"490",21151,"AD"
"491",37420,"BD"
"492",53021,"Grad"
"493",25653,"HS"
"494",30409,"AD"
"495",40801,"BD"
"496",41375,"Grad"
"497",22609,"HS"
"498",24241,"AD"
"499",41830,"BD"
"500",43036,"Grad"
"501",25825,"HS"
"502",30087,"AD"
"503",40982,"BD"
"504",47537,"Grad"
"505",25976,"HS"
"506",28399,"AD"
"507",38413,"BD"
"508",58343,"Grad"
"509",22410,"HS"
"510",27770,"AD"
"511",42280,"BD"
"512",56640,"Grad"
"513",26038,"HS"
"514",30600,"AD"
"515",48342,"BD"
"516",54384,"Grad"
"517",25649,"HS"
"518",30910,"AD"
"519",45350,"BD"
"520",46290,"Grad"
"521",26096,"HS"
"522",30174,"AD"
"523",38298,"BD"
"524",49345,"Grad"
"525",25212,"HS"
"526",28233,"AD"
"527",35087,"BD"
"528",44960,"Grad"
"529",21907,"HS"
"530",24198,"AD"
"531",41180,"BD"
"532",61625,"Grad"
"533",28987,"HS"
"534",33060,"AD"
"535",47554,"BD"
"536",55405,"Grad"
"537",22307,"HS"
"538",28556,"AD"
"539",37684,"BD"
"540",51350,"Grad"
"541",20275,"HS"
"542",22973,"AD"
"543",35833,"BD"
"544",46786,"Grad"
"545",22022,"HS"
"546",24591,"AD"
"547",41732,"BD"
"548",54189,"Grad"
"549",27891,"HS"
"550",31038,"AD"
"551",46708,"BD"
"552",47254,"Grad"
"553",26696,"HS"
"554",27191,"AD"
"555",43409,"BD"
"556",56088,"Grad"
"557",20470,"HS"
"558",23284,"AD"
"559",37885,"BD"
"560",54561,"Grad"
"561",22074,"HS"
"562",27452,"AD"
"563",38255,"BD"
"564",48074,"Grad"
"565",22500,"HS"
"566",22175,"AD"
"567",39013,"BD"
"568",44972,"Grad"
"569",21550,"HS"
"570",24618,"AD"
"571",37009,"BD"
"572",55694,"Grad"
"573",19983,"HS"
"574",22778,"AD"
"575",33103,"BD"
"576",47500,"Grad"
"577",20144,"HS"
"578",26313,"AD"
"579",43377,"BD"
"580",52875,"Grad"
"581",25482,"HS"
"582",29111,"AD"
"583",43000,"BD"
"584",51337,"Grad"
"585",23889,"HS"
"586",25422,"AD"
"587",36567,"BD"
"588",52872,"Grad"
"589",23056,"HS"
"590",24434,"AD"
"591",34500,"BD"
"592",46250,"Grad"
"593",24375,"HS"
"594",22289,"AD"
"595",34639,"BD"
"596",38707,"Grad"
"597",20908,"HS"
"598",24080,"AD"
"599",36672,"BD"
"600",34881,"Grad"
"601",25584,"HS"
"602",26197,"AD"
"603",48468,"BD"
"604",48667,"Grad"
"605",28886,"HS"
"606",26888,"AD"
"607",38521,"BD"
"608",41563,"Grad"
"609",23236,"HS"
"610",30833,"AD"
"611",45050,"BD"
"612",46771,"Grad"
"613",29420,"HS"
"614",34306,"AD"
"615",46621,"BD"
"616",56569,"Grad"
"617",25938,"HS"
"618",26504,"AD"
"619",43313,"BD"
"620",54250,"Grad"
"621",20659,"HS"
"622",24313,"AD"
"623",35625,"BD"
"624",42222,"Grad"
"625",25099,"HS"
"626",29662,"AD"
"627",38698,"BD"
"628",50789,"Grad"
"629",25439,"HS"
"630",29843,"AD"
"631",40821,"BD"
"632",50568,"Grad"
"633",19556,"HS"
"634",25453,"AD"
"635",38250,"BD"
"636",37500,"Grad"
"637",19441,"HS"
"638",25917,"AD"
"639",33368,"BD"
"640",42768,"Grad"
"641",20554,"HS"
"642",23672,"AD"
"643",47353,"BD"
"644",35909,"Grad"
"645",16711,"HS"
"646",22366,"AD"
"647",30175,"BD"
"648",14271,"Grad"
"649",22574,"HS"
"650",26664,"AD"
"651",40637,"BD"
"652",46875,"Grad"
"653",26835,"HS"
"654",37037,"AD"
"655",31875,"BD"
"656",53938,"Grad"
"657",20817,"HS"
"658",21457,"AD"
"659",41779,"BD"
"660",51413,"Grad"
"661",21615,"HS"
"662",26305,"AD"
"663",37120,"BD"
"664",46707,"Grad"
"665",23366,"HS"
"666",27163,"AD"
"667",38803,"BD"
"668",46736,"Grad"
"669",21197,"HS"
"670",23886,"AD"
"671",32656,"BD"
"672",50192,"Grad"
"673",22405,"HS"
"674",26972,"AD"
"675",36033,"BD"
"676",47955,"Grad"
"677",28211,"HS"
"678",28090,"AD"
"679",33587,"BD"
"680",38958,"Grad"
"681",25276,"HS"
"682",31412,"AD"
"683",44980,"BD"
"684",63152,"Grad"
"685",22367,"HS"
"686",25480,"AD"
"687",34758,"BD"
"688",51484,"Grad"
"689",23554,"HS"
"690",24783,"AD"
"691",44016,"BD"
"692",49205,"Grad"
"693",30363,"HS"
"694",34017,"AD"
"695",49210,"BD"
"696",59261,"Grad"
"697",24455,"HS"
"698",23806,"AD"
"699",37446,"BD"
"700",47153,"Grad"
"701",19461,"HS"
"702",19876,"AD"
"703",32750,"BD"
"704",42404,"Grad"
"705",24225,"HS"
"706",30975,"AD"
"707",43504,"BD"
"708",58933,"Grad"
"709",25322,"HS"
"710",23634,"AD"
"711",44200,"BD"
"712",53315,"Grad"
"713",22310,"HS"
"714",21578,"AD"
"715",32039,"BD"
"716",44722,"Grad"
"717",18660,"HS"
"718",18832,"AD"
"719",32976,"BD"
"720",45288,"Grad"
"721",24252,"HS"
"722",29879,"AD"
"723",42828,"BD"
"724",63949,"Grad"
"725",21154,"HS"
"726",21058,"AD"
"727",36000,"BD"
"728",36424,"Grad"
"729",25604,"HS"
"730",30022,"AD"
"731",43658,"BD"
"732",58581,"Grad"
"733",26606,"HS"
"734",31160,"AD"
"735",39920,"BD"
"736",51250,"Grad"
"737",22286,"HS"
"738",28173,"AD"
"739",34542,"BD"
"740",45192,"Grad"
"741",26909,"HS"
"742",27647,"AD"
"743",45104,"BD"
"744",52917,"Grad"
"745",31621,"HS"
"746",41198,"AD"
"747",59910,"BD"
"748",83248,"Grad"
"749",26429,"HS"
"750",32576,"AD"
"751",25469,"BD"
"752",61250,"Grad"
"753",23953,"HS"
"754",35396,"AD"
"755",47224,"BD"
"756",74658,"Grad"
"757",25681,"HS"
"758",28529,"AD"
"759",40898,"BD"
"760",55807,"Grad"
"761",33776,"HS"
"762",37438,"AD"
"763",49069,"BD"
"764",70978,"Grad"
"765",30502,"HS"
"766",34238,"AD"
"767",51000,"BD"
"768",56375,"Grad"
"769",32008,"HS"
"770",43664,"AD"
"771",64729,"BD"
"772",88554,"Grad"
"773",25634,"HS"
"774",28681,"AD"
"775",52167,"BD"
"776",61019,"Grad"
"777",31045,"HS"
"778",36215,"AD"
"779",63372,"BD"
"780",80167,"Grad"
"781",24940,"HS"
"782",31695,"AD"
"783",51830,"BD"
"784",68658,"Grad"
"785",25606,"HS"
"786",30805,"AD"
"787",45250,"BD"
"788",50521,"Grad"
"789",25987,"HS"
"790",26584,"AD"
"791",32465,"BD"
"792",51240,"Grad"
"793",26235,"HS"
"794",31902,"AD"
"795",44070,"BD"
"796",68026,"Grad"
"797",30098,"HS"
"798",32377,"AD"
"799",52526,"BD"
"800",54318,"Grad"
"801",26496,"HS"
"802",35393,"AD"
"803",55407,"BD"
"804",71847,"Grad"
"805",26368,"HS"
"806",32968,"AD"
"807",50884,"BD"
"808",76625,"Grad"
"809",22328,"HS"
"810",26611,"AD"
"811",38468,"BD"
"812",41901,"Grad"
"813",24909,"HS"
"814",37328,"AD"
"815",47058,"BD"
"816",50278,"Grad"
"817",26625,"HS"
"818",35824,"AD"
"819",51864,"BD"
"820",73546,"Grad"
"821",27330,"HS"
"822",32096,"AD"
"823",51384,"BD"
"824",61900,"Grad"
"825",29213,"HS"
"826",41090,"AD"
"827",63419,"BD"
"828",85429,"Grad"
"829",24033,"HS"
"830",37421,"AD"
"831",49087,"BD"
"832",61250,"Grad"
"833",25972,"HS"
"834",27620,"AD"
"835",33693,"BD"
"836",50453,"Grad"
"837",27048,"HS"
"838",31164,"AD"
"839",50062,"BD"
"840",70564,"Grad"
"841",18718,"HS"
"842",28440,"AD"
"843",23472,"BD"
"844",40368,"Grad"
"845",31056,"HS"
"846",27178,"AD"
"847",36374,"BD"
"848",35437,"Grad"
"849",27655,"HS"
"850",37206,"AD"
"851",51407,"BD"
"852",72665,"Grad"
"853",31037,"HS"
"854",40635,"AD"
"855",55415,"BD"
"856",78407,"Grad"
"857",29103,"HS"
"858",31751,"AD"
"859",38636,"BD"
"860",61480,"Grad"
"861",29813,"HS"
"862",41052,"AD"
"863",60827,"BD"
"864",84349,"Grad"
"865",33056,"HS"
"866",41216,"AD"
"867",63200,"BD"
"868",76932,"Grad"
"869",26469,"HS"
"870",31725,"AD"
"871",50046,"BD"
"872",50050,"Grad"
"873",29210,"HS"
"874",37446,"AD"
"875",53248,"BD"
"876",72417,"Grad"
"877",28349,"HS"
"878",36358,"AD"
"879",53605,"BD"
"880",73529,"Grad"
"881",34888,"HS"
"882",39136,"AD"
"883",64337,"BD"
"884",67992,"Grad"
"885",29877,"HS"
"886",37059,"AD"
"887",52489,"BD"
"888",71383,"Grad"
"889",29582,"HS"
"890",37124,"AD"
"891",53812,"BD"
"892",75230,"Grad"
"893",26589,"HS"
"894",37334,"AD"
"895",61408,"BD"
"896",84687,"Grad"
"897",29369,"HS"
"898",37218,"AD"
"899",52632,"BD"
"900",72590,"Grad"
"901",26973,"HS"
"902",35554,"AD"
"903",51995,"BD"
"904",64100,"Grad"
"905",31479,"HS"
"906",43977,"AD"
"907",63820,"BD"
"908",99254,"Grad"
"909",28817,"HS"
"910",36479,"AD"
"911",52960,"BD"
"912",68613,"Grad"
"913",30892,"HS"
"914",42209,"AD"
"915",73354,"BD"
"916",102488,"Grad"
"917",30482,"HS"
"918",38571,"AD"
"919",51961,"BD"
"920",66418,"Grad"
"921",26452,"HS"
"922",29986,"AD"
"923",45136,"BD"
"924",63219,"Grad"
"925",29281,"HS"
"926",39180,"AD"
"927",37656,"BD"
"928",21071,"Grad"
"929",22256,"HS"
"930",25398,"AD"
"931",35089,"BD"
"932",44669,"Grad"
"933",32755,"HS"
"934",42200,"AD"
"935",57829,"BD"
"936",75328,"Grad"
"937",31585,"HS"
"938",37561,"AD"
"939",52069,"BD"
"940",66380,"Grad"
"941",27821,"HS"
"942",35514,"AD"
"943",53695,"BD"
"944",72432,"Grad"
"945",25396,"HS"
"946",34665,"AD"
"947",53638,"BD"
"948",68993,"Grad"
"949",26712,"HS"
"950",27713,"AD"
"951",44388,"BD"
"952",54250,"Grad"
"953",18675,"HS"
"954",24490,"AD"
"955",30463,"BD"
"956",56818,"Grad"
"957",27102,"HS"
"958",31358,"AD"
"959",49921,"BD"
"960",70093,"Grad"
"961",23236,"HS"
"962",29531,"AD"
"963",45608,"BD"
"964",64306,"Grad"
"965",30709,"HS"
"966",40997,"AD"
"967",60054,"BD"
"968",84047,"Grad"
"969",29863,"HS"
"970",37665,"AD"
"971",52968,"BD"
"972",73859,"Grad"
"973",22827,"HS"
"974",34755,"AD"
"975",48153,"BD"
"976",69844,"Grad"
"977",31428,"HS"
"978",39256,"AD"
"979",51849,"BD"
